,Date,Target,S,err,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1/5/2021 10:49:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
1,2/6/2021 7:49:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
2,2/6/2021 7:57:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
3,2/6/2021 8:04:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
4,2/20/2021 8:41:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
5,2/20/2021 8:49:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
6,2/20/2021 8:56:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
7,10/29/2021 11:49:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
8,11/20/2021 11:13:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
9,11/20/2021 11:21:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
10,11/20/2021 11:28:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
11,11/20/21 11:36,55 Cnc,0.17576591600000002,0.0069378,,,,,,,,,,,,,,,,,,,,,,
12,11/20/2021 11:43:00,55 Cnc,0.17,0.01,,,,,,,,,,,,,,,,,,,,,,
13,11/20/2021 12:28:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
14,11/20/2021 12:35:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
15,11/20/2021 12:43:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
16,11/20/2021 12:51:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
17,11/20/2021 12:58:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
18,11/21/2021 10:48:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
19,11/21/2021 11:34:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
20,11/21/2021 12:12:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
21,11/21/21 12:20,55 Cnc,0.175034835,0.0069255869999999995,,,,,,,,,,,,,,,,,,,,,,
22,11/21/2021 12:27:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
23,11/21/2021 12:35:00,55 Cnc,0.17,0.01,,,,,,,,,,,,,,,,,,,,,,
24,11/21/2021 12:42:00,55 Cnc,0.17,0.01,,,,,,,,,,,,,,,,,,,,,,
25,11/21/2021 12:50:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
26,1/10/2022 10:05:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
27,1/10/2022 10:12:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
28,1/10/2022 10:20:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
29,1/12/2022 10:55:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
30,1/12/2022 11:02:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
31,1/12/2022 11:10:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
32,1/25/2022 9:05:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
33,1/25/2022 9:12:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
34,1/25/2022 9:20:00,55 Cnc,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,
35,2/11/2022 7:50:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
36,2/11/2022 7:58:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
37,2/11/2022 8:05:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
38,2/20/2022 2:36:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
39,2/20/2022 2:43:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
40,2/20/2022 2:51:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
41,2/20/2022 2:58:00,55 Cnc,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,
